,track,id,ranking
0,『欲』,69ImxLhTWjSRBl2nGspu9C,1
1,ハーケン,7HBkUALQjiFyE4PI80HLgJ,2
2,El Principio de algo,55oRR1s2W1xX2evrUCaOSb,3
3,Qué Bien,3iaj0MtII6VPVhwQa4eeX3,4
4,A Way of Life,6DHYWelHYuynVVPv2m58wl,5
5,Volveré a Empezar,2KDNePHNaahkf8okcATp51,6
6,Come Away (Unplugged),06qWAkT0jP7Tw0uaykZx2F,7
7,"Ptazeta: Bzrp Music Sessions, Vol. 45",4axxCbc4tWlpqHP5UbJMc3,8
8,Algo que ya (feat. Funambulista),0QUbM7Nhjzk0A4HodtUJwp,9
9,"The Breaking of the Fellowship (feat. ""In Dreams"")",1ykbtFnlIjmIFnZ8j6wg6i,10
10,Dynasties and Dystopia (from the series Arcane League of Legends),2k2RPHMeyercU9PauiKNbU,11
11,上,5N5iImDfoQ4IF3YvXBpxPX,12
12,Desaparece,11c4nID11cj01SsG86RpNR,13
13,Rutas Salvajes,2BTRX91dZwz7jeSZnkuk3T,14
14,Storm Boy,7J4GmvwgVBKMS6BAWnhLwB,15
15,Feels So Easy,53m2qiG26iGnHb3ygFFDp2,16
16,Sixtinain,4LapKFie8D1oWuowtLLXUu,17
17,Katawaredoki,4WedBZTeFawYCBCgfj36iK,18
18,The Fighter (feat. Ryan Tedder),77ZdAoTHYoF6Umo76HFD4m,19
19,"Nicky Jam: Bzrp Music Sessions, Vol. 41",03LfOYi0icz4souspZVVhq,20
20,Misfit Toys (from the series Arcane League of Legends),40giNwfX1pR3smltxvs3dB,21
21,Stick Season,0GNVXNz7Jkicfk2mp5OyG5,22
22,What Else Can I Do?,3XoYqtiWHhsk59frZupImG,23
23,Hay un Fuego,4jDnHToLAvPlAPB9aiMx3z,24
24,Down to the Sea,4FkmiIYmQ3Htkzmfkdp2r2,25
25,PRMVR,78CVgSm8s9pfpwCqvqzEYB,26
26,Little Lion Man,2KrN3MCNztKcSleZgHEj83,27
27,Okinawa Battlefield,4TyMkWzFaZIYH52DpBuISz,28
28,Till I Collapse,4xkOaSrkexMciUUogZKVTS,29
29,ABC,5BAHP1SSe7fdFsWTu9yoiU,30
30,Forever My Love,6TYuTMfBTU4hpXrhLsjIiV,31
31,On My Way,7tvdONFIPzFajuWX0TrlIQ,32
32,Es Por Ti,1rR8q4vfEyvMJDSv0dJDfr,33
33,Ceniza y Alquitrán,6lv4hUZ31Gtr9ryrE5HvbC,34
34,Vacío,7JK2tn5VBd1I8hlZ8bYSeU,35
35,Moguín,1BnIr9vXs7ftYBZcloaItN,36
36,What's Up Danger (with Black Caviar),5zsHmE2gO3RefVsPyw2e3T,37
37,Para Mi Eres Verano,3QqQMMEOGTRkeyfVpBIStB,38
38,Open Road - EP Version,4xIEGm9vCYmdrz4tLWczM4,39
39,Afterglow,0E4Y1XIbs8GrAT1YqVy6dq,40
40,Fast Lane,2c5Isyd07hWsl7AQia2Dig,41
41,Shang-Chi Main Theme - Cover,4unC81ERaaS8ogbCTJzVPE,42
42,Not Afraid,7Ie9W94M7OjPoZVV216Xus,43
43,Vive,5ZkGqwsCIujcrccIU3K0ol,44
44,Fairy Tail Main Theme - Slow ver.,1ADsAp80fs3TVEkRnqfJje,45
45,Gone (The Pocahontas Song),3DNvOV8PdEp1FNTqXUGBQF,46
46,Sirens - The Headphones Version,7aK8oUQbN6asMMeJ7DLl0X,47
47,Tell Me If You Wanna Go Home,0nrXQ2iKJFnPQYXZHKky9u,48
48,Tessa,2MaUwANhrU6KF8AK71ezsX,49
49,Untitled,44ut2KJnt0HQMnUaMlDv9W,50
50,Galicia - En Directo en acústico,6YT1amT59hvbSyGfEIJMoX,51
51,heartbeat,78MI46vAPFoPkLBJSgYADP,52
52,Aquellos Años Locos (Bonus Track),2zQPi1daDcELSMkpDGwHsn,53
53,From Me to You,34OP5ugxs1t3RaiJlyqJRb,54
54,Phenomenal,4e5lEqydMatcEio6ef9Dpf,55
55,Toralla,4rhHAWgMR5UbQuvEQHs8qH,56
56,Tu Primera Fila,7ioc8jD1x4NDgx6v49kGiN,57
57,Sherwood Forest,51zjgYMqhtxjYckGppYoce,58
58,Guantanamera,5QAya5bSSiKlh1h4qeeq38,59
59,El Rey del Contrabando,7rTFvWAM7dG2lyQDQIGJkx,60
